M20002661169|20170624|86|280428.29
2017062422032372711290241029|2017062411100210833840509808|3007|22.91|S|2017-06-24 22:03:35|hzfh601|hzfh1473|hzfh2759|
2017062422032372711290240928|2017062411100210833840509807|3007|2.29|S|2017-06-24 22:03:35|hzfh601|hzfh1473|hzfh868|
2017062422032372711290240627|2017062411100210833840509806|3007|0.68|S|2017-06-24 22:03:35|hzfh601|hzfh1473|hzfh3391|
2017062422032372711290240526|2017062411100210833840509805|3007|0.68|S|2017-06-24 22:03:35|hzfh601|hzfh1473|hzfh3458|
2017062422032372711290240325|2017062411100210833840509804|3007|0.68|S|2017-06-24 22:03:35|hzfh601|hzfh1473|hzfh3434|
2017062422032372711290240224|2017062411100210833840509803|3007|0.68|S|2017-06-24 22:03:35|hzfh601|hzfh1473|hzfh3454|
2017062422032372711290240123|2017062411100210833840509802|3007|0.68|S|2017-06-24 22:03:35|hzfh601|hzfh1473|hzfh3447|
2017062422032372711290240022|2017062411100210833840509801|3007|0.68|S|2017-06-24 22:03:35|hzfh601|hzfh1473|hzfh3253|
2017062422032372711290239921|2017062411100210833840509800|3007|0.68|S|2017-06-24 22:03:35|hzfh601|hzfh1473|hzfh2119|
201706242203395741131524377|2017062411100210836440575699|3007|0.68|S|2017-06-24 22:03:50|hzfh609|hzfh194|hzfh3499|
201706242203395741131524458|2017062411100210836440575700|3007|2.29|S|2017-06-24 22:03:50|hzfh609|hzfh194|hzfh1493|
201706242203395741131524469|2017062411100210836440575701|3007|0.68|S|2017-06-24 22:03:50|hzfh609|hzfh194|hzfh3514|
2017062422033957411315244910|2017062411100210836440575702|3007|0.68|S|2017-06-24 22:03:50|hzfh609|hzfh194|hzfh3509|
2017062422033957411315245011|2017062411100210836440575703|3007|0.68|S|2017-06-24 22:03:50|hzfh609|hzfh194|hzfh3377|
2017062422033957411315245212|2017062411100210836440575704|3007|40.79|S|2017-06-24 22:03:50|hzfh609|hzfh194|hzfh3525|
2017062422035046119319|2017062411100210836440575706|3009|0.56|S|2017-06-24 22:04:00||hzfh150001|hzfh3499|
2017062422035046519320|2017062411100210836440575707|3009|1.87|S|2017-06-24 22:04:00||hzfh150001|hzfh1493|
2017062422035047019321|2017062411100210836440575708|3009|0.56|S|2017-06-24 22:04:00||hzfh150001|hzfh3514|
2017062422035047419322|2017062411100210836440575709|3009|0.56|S|2017-06-24 22:04:00||hzfh150001|hzfh3509|
2017062422035047819323|2017062411100210836440575710|3009|0.56|S|2017-06-24 22:04:00||hzfh150001|hzfh3377|
2017062422035048219324|2017062411100210836440575711|3009|33.37|S|2017-06-24 22:04:00||hzfh150001|hzfh3525|
2017062422033621419294|2017062411100210833840509819|3009|0.56|S|2017-06-24 22:04:00||hzfh150001|hzfh3441|
