M20002661169|20170625|27|0.00
hzfh150146|100000.00|0.00|0.00
hzfh150094|3000.00|0.00|0.00
hzfh150214|20000.00|0.00|0.00
hzfh807|80.00|0.00|0.00
hzfh3194|50000.00|0.00|0.00
hzfh150200|6000.00|0.00|0.00
hzfh970|460.00|0.00|0.00
hzfh1314|100.00|0.00|0.00
hzfh1064|0.00|2625.00|0.00
hzfh150001|0.00|549.99|0.00
hzfh692|22.99|0.00|0.00
hzfh915|20030.00|0.00|0.00
hzfh150080|0.00|15700.00|0.00
hzfh676|206.00|0.00|0.00
hzfh512|128.99|0.00|0.00
hzfh3494|7250.00|0.00|0.00
hzfh150147|50100.00|0.00|0.00
hzfh1473|20000.00|120.00|0.00
hzfh34|1928.00|0.00|0.00
hzfh150128|5.00|1000.00|0.00
hzfh150181|305.00|300.00|0.00
hzfh1019|5000.00|0.00|0.00
hzfh406|3000.00|3000.00|0.00
hzfh150000|120.01|0.00|0.00
hzfh1101|44.00|0.00|0.00
hzfh3701|3015.00|0.00|0.00
hzfh150232|300.00|0.00|0.00
