M20002661169|20170712|71|2885037.35
hzfh3601|50000.00|50000.00|102.91
hzfh1470|0.00|20200.00|0.00
hzfh150374|33165.00|95.00|33100.00
hzfh1787|1515.00|0.00|1515.00
hzfh150214|20083.33|0.00|20138.33
hzfh150094|3012.49|0.00|3017.49
hzfh3677|301.24|0.00|301.24
hzfh150107|301.24|0.00|301.24
hzfh150224|301.24|0.00|306.24
hzfh690|200000.00|3920.00|487878.00
hzfh3761|0.00|306.24|0.00
hzfh2151|10100.00|0.00|10100.00
hzfh3721|0.00|301.24|0.00
hzfh3741|0.00|301.24|0.00
hzfh689|500000.00|5500.00|494500.00
hzfh194|70160.43|70160.43|44.64
hzfh150158|301.24|0.00|301.24
hzfh150009|301.24|0.00|301.24
hzfh150105|301.24|0.00|301.24
hzfh150279|301.24|0.00|306.24
hzfh1280|0.00|1000.00|10.00
hzfh150178|301.24|0.00|301.24
hzfh150283|1004.16|0.00|1074.16
hzfh150695|28100.00|28100.00|0.00
hzfh150509|8620.00|8700.00|0.00
hzfh150720|0.00|40000.00|0.00
hzfh3680|0.00|602.49|0.00
hzfh422|10000.00|10000.00|0.00
hzfh826|20000.00|20000.00|0.00
hzfh3525|110000.00|110000.00|0.00
hzfh992|502.07|0.00|502.07
hzfh102|301.24|0.00|301.24
hzfh150111|301.24|0.00|306.24
hzfh4073|0.00|301.24|0.00
hzfh150298|301.24|0.00|306.24
hzfh2015|0.00|10000.00|0.00
hzfh150001|0.00|771.19|13816.67
hzfh150723|40105.00|40000.00|105.00
hzfh150631|3015.00|4000.00|20.00
hzfh150707|1005.00|1000.00|5.00
hzfh3662|301.24|0.00|301.24
hzfh1473|100000.00|53250.00|938694.32
hzfh1588|30300.00|300.00|30000.00
hzfh2535|1010.00|1010.00|0.00
hzfh146|1010.00|1010.00|0.00
hzfh484|0.00|301.24|0.00
hzfh150277|20083.33|0.00|20083.33
hzfh520|170000.00|3620.00|166380.00
hzfh150213|20083.33|0.00|24083.33
hzfh1785|0.00|8000.00|80.00
hzfh150679|5050.00|10000.00|50.00
hzfh150514|10000.00|10000.00|0.00
hzfh187|505.00|805.40|0.00
hzfh150716|0.00|300.00|0.00
hzfh150453|0.00|1000.00|0.00
hzfh1131|10000.00|10000.00|0.00
hzfh150000|15790.14|0.00|511827.33
hzfh444|1900.00|1900.00|0.00
hzfh150664|300.00|0.00|300.00
hzfh150257|502.07|0.00|507.07
hzfh801|150000.00|147300.00|2700.00
hzfh32|0.00|100.41|0.00
hzfh23|40000.00|0.00|40000.00
hzfh150773|50100.00|100.00|50000.00
hzfh2526|1010.00|1010.00|0.00
hzfh802|5050.00|0.00|15352.00
hzfh150784|14000.00|0.00|14000.00
hzfh150728|0.00|100.00|0.00
hzfh150232|301.24|0.00|306.24
hzfh2315|500000.00|500000.00|0.00
hzfh150278|1104.58|0.00|1109.58
